continent,location,population,TotalInfections,PercentInfectedPeople,TotalDeaths,DeathRate
Asia,Iran,83992953,2499077,2.98,9996,100
South America,Guyana,786559,13283,1.69,98,100
Africa,Sudan,43849269,33944,0.08,97,100
North America,Guatemala,17915567,227671,1.27,981,50
Asia,Philippines,109581085,1037460,0.95,9978,50
Africa,Gambia,2416664,5898,0.24,99,50
North America,Nicaragua,6624554,6898,0.1,99,50
Europe,Ukraine,43733759,2124070,4.86,995,33.33
Africa,Cape Verde,555988,23882,4.3,97,33.33
Africa,Morocco,36910558,511249,1.39,984,33.33
Africa,Gabon,2225728,23075,1.04,96,33.33
Africa,Zimbabwe,14862927,38257,0.26,974,33.33
Asia,Yemen,29825968,6317,0.02,986,33.33
Africa,Angola,32866268,26652,0.08,96,28.57
Africa,Botswana,2351625,46934,2,9,25
Oceania,Vanuatu,307150,4,0,1,25
Europe,France,68147687,5677835,8.33,99936,23.83
Africa,Liberia,5057677,2099,0.04,85,23.08
North America,Belize,397621,12668,3.19,96,20
Africa,Mauritania,4649660,18402,0.4,97,20
Asia,Syria,17500657,22733,0.13,998,20
Africa,Burundi,11890781,3995,0.03,6,20
North America,Bahamas,393248,10453,2.66,96,19.51
Africa,Malawi,19129955,34078,0.18,997,16.67
Europe,Belgium,11589616,990229,8.54,9996,16.42
Africa,Algeria,43851043,122108,0.28,996,15.78
Europe,United Kingdom,67886004,4432246,6.53,98723,15.24
Europe,Italy,60461828,4022653,6.65,99785,14.53
Europe,Bulgaria,6948445,404380,5.82,9978,14.29
North America,Cuba,11326616,106707,0.94,98,14.29
Africa,Niger,24206636,5228,0.02,99,14.29
Europe,Hungary,9660350,779348,8.07,9977,14.11
Europe,San Marino,33938,5066,14.93,90,13.89
Asia,Myanmar,54409794,142817,0.26,972,13.64
North America,Antigua and Barbuda,97928,1232,1.26,9,13.04
Africa,Sao Tome and Principe,219161,2302,1.05,8,13.04
Europe,Netherlands,17134873,1522973,8.89,9985,12.92
Asia,Bangladesh,164689383,759132,0.46,9987,12.82
North America,Panama,4314768,364576,8.45,982,12.5
Africa,Comoros,869595,3834,0.44,98,12.5
North America,Mexico,128932753,2344755,1.82,99528,12.4
Europe,Spain,46754783,3524077,7.54,9387,12.19
Europe,Sweden,10099270,973604,9.64,9834,12.18
North America,Haiti,11402533,13056,0.11,98,11.88
Africa,Mali,20250834,13858,0.07,97,11.86
Africa,Democratic Republic of Congo,89561404,29853,0.03,98,11.69
Africa,Chad,16425859,4817,0.03,99,11.53
Asia,Iraq,40222503,1065199,2.65,9970,11.27
Africa,Congo,5518092,10678,0.19,99,11.11
North America,United States,331002647,32346971,9.77,99571,10.91
North America,Honduras,9904608,212333,2.14,99,10.07
South America,Suriname,586634,10363,1.77,97,10
South America,Ecuador,17643060,381862,2.16,93,9.61
Asia,Indonesia,273523621,1668368,0.61,9977,9.5
Africa,Tanzania,59734213,509,0,7,9.38
Africa,Libya,6871287,177508,2.58,995,9.09
North America,Barbados,287371,3855,1.34,9,8.75
North America,Canada,37742157,1228367,3.25,9977,8.58
South America,Argentina,45195777,2977363,6.59,992,8.33
Europe,Albania,2877800,131085,4.56,989,8.33
Africa,Somalia,15893219,13915,0.09,99,8.33
South America,Bolivia,11673029,303732,2.6,9985,8.18
South America,Paraguay,7132530,279077,3.91,989,8.11
Africa,Togo,8278737,12967,0.16,98,7.76
Africa,Egypt,102334403,227552,0.22,9994,7.7
North America,Trinidad and Tobago,1399491,10824,0.77,98,7.62
Africa,Ghana,31072945,92562,0.3,95,7.41
Europe,Slovenia,2078932,240292,11.56,995,7.4
Africa,Mauritius,1271767,1209,0.1,9,7.14
Oceania,Fiji,896444,117,0.01,2,7.14
South America,Brazil,212559409,14659011,6.9,99572,6.99
Africa,Burkina Faso,20903278,13310,0.06,97,6.98
Africa,Sierra Leone,7976985,4054,0.05,9,6.93
Europe,Ireland,4937796,248870,5.04,98,6.83
North America,Jamaica,2961161,45578,1.54,93,6.82
Europe,Andorra,77265,13232,17.13,98,6.7
Asia,Azerbaijan,10139175,319109,3.15,985,6.67
Europe,Romania,19237682,1055265,5.49,9916,6.61
Europe,Switzerland,8654618,659974,7.63,9988,6.27
Africa,Eswatini,1160164,18458,1.59,98,6.25
Europe,Bosnia and Herzegovina,3280815,198461,6.05,997,6.21
Europe,Greece,10423056,345033,3.31,997,6.13
Europe,North Macedonia,2083380,152367,7.31,994,6.05
Africa,Kenya,53771300,159318,0.3,981,6.02
North America,Dominican Republic,10847904,266561,2.46,999,5.88
North America,El Salvador,6486201,69198,1.07,997,5.83
Asia,China,1439323774,102494,0.01,905,5.53
Asia,Japan,126476458,593264,0.47,998,5.4
South America,Venezuela,28435943,197683,0.7,997,5.39
Europe,Poland,37846605,2792142,7.38,996,5.05
Europe,Denmark,5792203,251249,4.34,992,5.02
South America,Peru,32971846,1799445,5.46,9860,5.01
Africa,Zambia,18383956,91586,0.5,991,5
Asia,Taiwan,23816775,1128,0,9,5
Asia,Lebanon,6825442,526578,7.71,991,4.92
Africa,Cameroon,26545864,72250,0.27,991,4.86
Europe,Croatia,4105268,332183,8.09,99,4.76
South America,Colombia,50882884,2859724,5.62,9810,4.75
Europe,Finland,5540718,86808,1.57,98,4.72
Europe,Germany,83783945,3405365,4.06,9978,4.7
Africa,Tunisia,11818618,309119,2.62,9993,4.68
Africa,Ethiopia,114963583,257442,0.22,996,4.65
Asia,Afghanistan,38928341,59745,0.15,996,4.42
Europe,Portugal,10196707,836493,8.2,9920,4.37
Europe,Monaco,39244,2454,6.25,9,4.26
Europe,Kosovo,1932774,103638,5.36,989,4.09
Europe,Austria,9006400,618870,6.87,9997,4.02
Oceania,Australia,25499881,29811,0.12,99,3.95
Asia,Kyrgyzstan,6524191,95275,1.46,99,3.93
Africa,Benin,12123198,7821,0.06,99,3.85
Europe,Montenegro,628062,97389,15.51,999,3.7
Asia,Sri Lanka,21413250,108146,0.51,99,3.7
Europe,Estonia,1326539,122019,9.2,990,3.67
Europe,Moldova,4033963,250837,6.22,995,3.66
Asia,India,1380004385,19164969,1.39,99773,3.6
Africa,Nigeria,206139587,165110,0.08,997,3.56
Europe,Czechia,10708982,1630758,15.23,99,3.54
Africa,South Africa,59308690,1581210,2.67,998,3.44
Europe,Lithuania,2722291,247269,9.08,985,3.41
Asia,Vietnam,97338583,2928,0,9,3.35
Asia,Tajikistan,9537642,13308,0.14,90,3.27
Africa,Lesotho,2142252,10731,0.5,93,3.17
Oceania,Papua New Guinea,8947027,10997,0.12,99,3.17
South America,Uruguay,3473727,198428,5.71,98,3.16
Europe,Cyprus,875899,65233,7.45,96,3.09
Europe,Slovakia,5459643,382211,7,996,3.06
Europe,Norway,5421242,112970,2.08,89,2.83
South America,Chile,19116209,1198245,6.27,997,2.79
Asia,Turkey,84339067,4820591,5.72,9950,2.78
Europe,Luxembourg,625976,67205,10.74,98,2.76
Africa,Senegal,16743930,40344,0.24,995,2.75
Europe,Latvia,1886202,118558,6.29,99,2.72
Europe,Serbia,6804596,689557,10.13,99,2.71
Asia,South Korea,51269183,122634,0.24,981,2.4
Asia,Thailand,69799978,65153,0.09,99,2.38
Asia,Pakistan,220892331,825519,0.37,9992,2.37
Europe,Russia,145934460,4750755,3.26,99800,2.28
Europe,Liechtenstein,38137,2926,7.67,8,2.14
Asia,Brunei,437483,224,0.05,3,2.13
Africa,South Sudan,11193729,10583,0.09,97,2.04
Asia,Armenia,2963234,216064,7.29,995,2.01
Asia,Jordan,10203140,711373,6.97,967,1.96
Africa,Equatorial Guinea,1402985,7694,0.55,98,1.92
Asia,Uzbekistan,33469199,90808,0.27,98,1.92
Africa,Guinea-Bissau,1967998,3734,0.19,8,1.89
Europe,Belarus,9449321,358738,3.8,998,1.86
Asia,Georgia,3989175,310310,7.78,976,1.8
Africa,Madagascar,27691019,37014,0.13,99,1.8
North America,Saint Lucia,183629,4552,2.48,9,1.79
Europe,Malta,441539,30292,6.86,98,1.73
Asia,Saudi Arabia,34813867,417363,1.2,972,1.73
Asia,Israel,8655541,838481,9.69,998,1.71
North America,Costa Rica,5094114,250991,4.93,987,1.71
Asia,Malaysia,32365998,408713,1.26,99,1.71
Asia,Kazakhstan,18776707,375539,2,97,1.5
Africa,Cote d'Ivoire,26378275,46036,0.17,99,1.47
Oceania,New Zealand,4822233,2613,0.05,9,1.46
Asia,United Arab Emirates,9890400,520236,5.26,986,1.43
Africa,Rwanda,12952209,25116,0.19,98,1.42
Africa,Central African Republic,4829764,6411,0.13,88,1.38
Africa,Namibia,2540916,48351,1.9,98,1.33
Africa,Djibouti,988002,11100,1.12,96,1.3
Asia,Palestine,5101416,296462,5.81,978,1.19
Africa,Uganda,45741000,41866,0.09,99,1.18
Asia,Oman,5106622,193253,3.78,990,1.17
Africa,Mozambique,31255435,69917,0.22,99,1.17
Asia,Nepal,29136808,323187,1.11,99,1.1
Asia,Bahrain,1701583,176934,10.4,98,0.95
Africa,Guinea,13132792,22215,0.17,97,0.87
Asia,Kuwait,4270563,273991,6.42,998,0.83
North America,Grenada,112519,160,0.14,1,0.79
Asia,Cambodia,16718971,13402,0.08,93,0.79
North America,Saint Vincent and the Grenadines,110947,1864,1.68,9,0.6
Africa,Seychelles,98340,5873,5.97,8,0.56
Europe,Iceland,341250,6472,1.9,9,0.56
Asia,Maldives,540542,29835,5.52,9,0.52
Asia,Singapore,5850343,61145,1.05,9,0.5
Africa,Eritrea,3546427,3671,0.1,9,0.39
Asia,Qatar,2881060,205652,7.14,99,0.32
Asia,Mongolia,3278292,37285,1.14,97,0.31
Asia,Timor,1318442,2276,0.17,3,0.19
Asia,Bhutan,771612,1074,0.14,1,0.13
Europe,Vatican,809,27,3.34,NULL,NULL
North America,Dominica,71991,174,0.24,NULL,NULL
North America,Saint Kitts and Nevis,53192,44,0.08,NULL,NULL
Oceania,Marshall Islands,59194,4,0.01,NULL,NULL
Asia,Laos,7275556,757,0.01,NULL,NULL
Oceania,Micronesia (country),115021,1,0,NULL,NULL
Oceania,Solomon Islands,686878,20,0,NULL,NULL
Oceania,Samoa,198410,3,0,NULL,NULL
Africa,Saint Helena,6071,NULL,NULL,NULL,NULL
Asia,Northern Cyprus,NULL,NULL,NULL,NULL,NULL
North America,Turks and Caicos Islands,38718,NULL,NULL,NULL,NULL
Oceania,Tonga,105697,NULL,NULL,NULL,NULL
North America,Montserrat,4999,NULL,NULL,NULL,NULL
Oceania,Nauru,10834,NULL,NULL,NULL,NULL
Asia,Macao,649342,NULL,NULL,NULL,NULL
Europe,Isle of Man,85032,NULL,NULL,NULL,NULL
Europe,Jersey,101073,NULL,NULL,NULL,NULL
Europe,Guernsey,67052,NULL,NULL,NULL,NULL
Asia,Hong Kong,7496988,NULL,NULL,NULL,NULL
North America,Greenland,56772,NULL,NULL,NULL,NULL
Europe,Gibraltar,33691,NULL,NULL,NULL,NULL
North America,Curacao,164100,NULL,NULL,NULL,NULL
Europe,Faeroe Islands,48865,NULL,NULL,NULL,NULL
South America,Falkland Islands,3483,NULL,NULL,NULL,NULL
North America,Cayman Islands,65720,NULL,NULL,NULL,NULL
North America,Bermuda,62273,NULL,NULL,NULL,NULL
North America,Anguilla,15002,NULL,NULL,NULL,NULL
North America,Aruba,106766,NULL,NULL,NULL,NULL
